# form	pos	lemma	sense	freq
ཀེ་ཏ་ཀ	OTHER		27
ཀེ་ཏུཿ			
ཀེ་ཚེ			
ཀེ་ཛི			
ཀེ་རུ	PROPN		14
ཀེ་རེ			15
ཀེ་རྩེ			
ཀེ་ལ་ཤ			1
ཀེ་ཤ་ཅན			
ཀེ་ས་ར			14
ཀེག			227
ཀེག་འཕྲང			7
ཀེང་རུས			1387
ཀེང་ཤུ་ཀ			14
ཀེམ་ཀེམ			6
ཀེའུ			9
ཀེའུ་ཙེ			3
ཀེའུ་ཚང			122
ཀེའུ་རྩེ			
ཀེར་ཀེར			
ཀེར་ཐིག			
ཀེར་བ			
ཀེར་མོ			
ཀེར་རེ			1
ཀོ			646
ཀོ་ཀྲད			
ཀོ་ཁུག			
ཀོ་ཁྲོལ			
ཀོ་གདན			1
ཀོ་གཞོང			
ཀོ་གཟར			
ཀོ་གྲུ			
ཀོ་གླ			
ཀོ་ཅི			42
ཀོ་ཆུ			4
ཀོ་ཉེ			
ཀོ་ཊ			60
ཀོ་ཐ			
ཀོ་ཐུམ			
ཀོ་དམ			
ཀོ་ཕུབ			
ཀོ་ཕྱར			
ཀོ་བ			168
ཀོ་བཟོ་བ			
ཀོ་བརྩེགས			
ཀོ་བསེ			
ཀོ་བྱི་ལ			4
ཀོ་བྱིལ			
ཀོ་མཁན			18
ཀོ་མོག			14
ཀོ་ཙེ			2
ཀོ་ཚགས			
ཀོ་ཚལ			
ཀོ་འཕྱགས			
ཀོ་འབིགས			
ཀོ་འབེ			
ཀོ་འབོ			
ཀོ་འབོག			
ཀོ་རེ			1
ཀོ་རོ			16
ཀོ་རྐྱལ			
ཀོ་རྒྱུན			
ཀོ་རྡར			
ཀོ་ལ			18
ཀོ་ལེ			2
ཀོ་ལོང			313
ཀོ་ལྕག			3
ཀོ་ལྡིང			
ཀོ་ལྤགས			237
ཀོ་ཤ			38
ཀོ་ཤེལ			
ཀོ་ཥ			36
ཀོ་སག			
ཀོ་སེག			
ཀོ་སྐུད			
ཀོ་སྐོ			14
ཀོ་སྐྱི			
ཀོ་སྒྲོག			
ཀོ་སྒྲོམ			
ཀོ་སྤྱིན			
ཀོག			34
ཀོག་ཙེ			
ཀོག་ཚེ			
ཀོང་ཀོང			2
ཀོང་ཆས			1
ཀོང་ཇོ			26
ཀོང་དོང			
ཀོང་པོ	PROPN		160
ཀོང་པོ་བུ་ཆུ	PROPN		3
ཀོང་པོ་རྒྱ་མདའ			
ཀོང་པོ་ལོ་གསར			
ཀོང་བུ	NOUN		421
ཀོང་མོ			2
ཀོང་ཞག			
ཀོང་ཞྭ			
ཀོང་ཡུལ			74
ཀོང་རྣ			1
ཀོང་རྣ་པན་ཏོག			
ཀོང་ལྷམ			
ཀོང་སྐྲ			
ཀོང་སྤྲུལ་ཟིན་ཏིག			
ཀོང་སྤྲེལ			
ཀོན་པ			
ཀོབ་ཙེ			
ཀོར			609
ཀོལ་མ			3
ཀོས་ཀོ			17
ཀོས་ཐག			1
ཀོས་སྐོ			
ཀོས་སྨྱུང			
ཀྱག་ཀྱོག			5
ཀྱང་ཀྱོང			
ཀྱང་ངེ་ཀྱོང་ངེ			
ཀྱམ་མེ			
ཀྱམས་པ			
ཀྱར་ཀྱོར			1
ཀྱལ་ཀ	NOUN		138
ཀྱལ་ཀྱལ			
ཀྱལ་ཀྱོལ			
ཀྱལ་གཏམ			
ཀྱལ་ཏ			
ཀྱལ་རྟ			
ཀྱི་བསེར			
ཀྱི་ལི་ལི			
ཀྱི་ལྕེ			12
ཀྱི་སྙ			
ཀྱི་ཧུད			681
ཀྱིར་ཀྱིར			
ཀྱིལ་ལེ			
ཀྱུ			1252
ཀྱུ་མ			5
ཀྱུ་རུ་ར			
ཀྱུ་རུ་རུ			1
ཀྱུང་བུ			
ཀྱུར་ཀྱུར			4
ཀྱེ	PROPN		5001
ཀྱེ་མ			3004
ཀྱེ་མ་ཧུད			
ཀྱེ་མ་ཧོ			1
ཀྱེ་རྡོར			398
ཀྱེ་ཧུ			2
ཀྱེ་ཧུད			217
ཀྱེད			12
ཀྱོ་ཏང			
ཀྱོ་བ			41
ཀྱོག་ཐིག			
