# form	pos	lemma	sense	freq
དགེ་འདུན	NOUN			39254
དགེ་སྦྱོང	NOUN			7908
དགེ་སློང	NOUN			72619
དགོངས	VERB			
དགོད	VERB			2429
དགོན	OTHER			
དགོས	VERB			44514
དགྲ	NOUN			
དགྲ་བཅོམ	NOUN			
དགྲ་སྟ				178
དགྲོལ	VERB			
བགེགས	NOUN			30777
བགྱི	VERB			
བགྱིས	VERB			
བགྲང	VERB			
བགྲོད	VERB			2769
མགལ་མེ				237
མགུ	VERB			
མགུལ	NOUN			3729
མགོ	NOUN			17105
མགོ་བོ	NOUN			3838
མགོན	NOUN			
མགྱོགས	VERB			
མགྲིན	NOUN			
མགྲོན	NOUN			
འགག	VERB			2971
འགའ	DET			32013
འགའ་ཞིག	OTHER			
འགལ	VERB			
འགོག				2396
འགྱུར	VERB			
འགྱེད	VERB			1415
འགྲམ་				
འགྲམ་པ	VERB			368
འགྲིབ	VERB			
འགྲུབ	VERB			
འགྲེལ	NOUN			
འགྲོ	VERB			51537
རྒན	NOUN			
རྒན་རབས	NOUN			263
རྒུད	VERB			
རྒུན་ཆང				93
རྒུན་འབྲུམ	OTHER			125
རྒོད	NOUN			1911
རྒྱ	NOUN			36162
རྒྱ་སྐྱེགས	NOUN			344
རྒྱ་གར	PROPN			10930
རྒྱ་མཚོ	NOUN			26524
རྒྱང	NOUN			2687
རྒྱན	NOUN			36788
རྒྱབ	NOUN			12959
རྒྱབ་ཡོལ་				
རྒྱལ	VERB			11610
རྒྱལ་ཆེན	NOUN			2756
རྒྱལ་པོ	NOUN			65158
རྒྱལ་རིགས	NOUN			2791
རྒྱལ་སྲིད	NOUN			4806
རྒྱས	VERB			
རྒྱུ	NOUN			84021
རྒྱུ་སྐར	NOUN			1406
རྒྱུ་ཅན				551
རྒྱུ་སྤུན				33
རྒྱུ་མཚན	NOUN			21954
རྒྱུད	NOUN			93909
རྒྱུན	NOUN			49028
སྒ་ཆུ				
སྒང་བུ				
སྒེག	VERB			
སྒོ	NOUN			93542
སྒོ་ཁྱུད				44
སྒོམ	VERB			
སྒྱུ	NOUN			579
སྒྱུ་མ	NOUN			13952
སྒྱུ་རྩལ	NOUN			541
སྒྱུར	VERB			1953
སྒྲ	NOUN			66852
སྒྲ་གཅན	OTHER			1190
སྒྲིབ	NOUN			
སྒྲུབ	VERB			
སྒྲོ	NOUN			4088
སྒྲོགས	VERB			1517
བརྒལ	VERB			
བརྒྱ	NUM			50424
བརྒྱད	NUM			93792
བརྒྱད་ཅུ				
བརྒྱད་པོ	NUM			
བརྒྱན	VERB			
བརྒྱུས				
བསྒོམ	VERB			
བསྒོམས	VERB			
བསྒྲུབ	VERB			
བསྒྲུབས	VERB			
ང	PRON			46149
ང་རྒྱལ	NOUN			14608
ངག	NOUN			34607
ངང	NOUN			38700
ངན	VERB			
ངན་འགྲོ	NOUN			1495
ངན་ངོན				183
ངན་སོང	NOUN			9720
ངར་སྣབས				90
ངལ	VERB			
ངས	OTHER			
ངུར་སྨྲིག	NOUN			1633
ངེད	PRON			7222
ངེས	VERB			
ངེས་པར				
ངོ	PART			
ངོ་བོ	NOUN			72174
ངོ་ཚ	NOUN			1461
ངོ་མཚར	ADJ			10192
དངུལ	NOUN			4576
དངོས	NOUN			49912
དངོས་པོ	NOUN			62804
དངོས་གཞི	NOUN			
མངའ	VERB			8949
མངར	VERB			
མངོན	VERB			36960
མངོན་དུ				
མངོན་པར	OTHER			
མངོན་སུམ	NOUN			38549
རྔུབ				
ལྔ	NUM			118443
སྔ	ADV			
སྔ་ལྟས	NOUN			616
སྔ་མ	ADJ			25357
སྔ་རོལ	NOUN			2371
སྔགས	NOUN			87267
སྔར	NOUN			117
སྔོ	VERB			3148
སྔོན	ADV			
སྔོན་ཆད	ADV			1985
བསྔགས	VERB			
བསྔལ	VERB			
བསྔོ	VERB			
བསྔོས	VERB			
ཅ་ཅོ	NOUN			
ཅག				980
ཅང	PART			4419
ཅང་ཏེའུ	NOUN			584
ཅང་ཤེས	NOUN			45
ཅན	PART			38155
ཅི་སྟེ				
ཅི་མ་རུང				
ཅི་ཞིག				
ཅི་ཡང	OTHER			
ཅི་རིགས	OTHER			
ཅིག་ཅར	ADV			3957
ཅིག་ཤོས	DET			
ཅིའི་ཕྱིར				
ཅིའི་སླད་དུ				
ཅུང	OTHER			1155
ཅུང་ཟད	ADV			27823
ཅེ་སྤྱང	NOUN			590
ཅོག་པུ				4
ཅོད་པན	NOUN			3877
གཅན་ཟན				
གཅན་གཟན	NOUN			1405
གཅམ				
གཅིག	NUM			245226
གཅིག་པུ	ADJ			6844
གཅིན	NOUN			
གཅེར་བུ	ADJ			1972
གཅེས	VERB			
བཅང	VERB			
བཅད	VERB			
བཅའ	VERB			
བཅའ་སྒ				23
བཅས	VERB			
བཅིངས	VERB			
བཅུ	NUM			130156
བཅུ་དགུ				
བཅུ་གཅིག				1
བཅུ་གཉིས				
བཅུ་དྲུག				
བཅུ་བདུན				
བཅུ་བཞི				
བཅུ་གསུམ				
བཅུག	VERB			11080
བཅུད	NOUN			14077
བཅུད་ལེན	NOUN			1598
བཅུར				
བཅོ་བརྒྱད				
བཅོ་ལྔ				
བཅོམ	VERB			6200
བཅོམ་ལྡན་འདས	NOUN			
ལྕགས	NOUN			9279
ལྕགས་ཀྱུ	NOUN			5702
ལྕགས་སྦྲང				
ལྕི	VERB			
ལྕེ	NOUN			7056
ལྕེ་སྤྱང	NOUN			169
ཆ	NOUN			41152
ཆ་བྱད	NOUN			1483
ཆགས	VERB			
ཆང	NOUN			10377
ཆད	VERB			11194
ཆབ	NOUN			1512
ཆིག་བརྒྱ				
ཆིག་སྟོང				
ཆུ	NOUN			42010
ཆུ་བུར	NOUN			293
ཆུ་བོ	NOUN			5333
ཆུ་སྦྲང				
ཆུ་ཤེལ	OTHER			722
ཆུ་སྲིན	NOUN			2740
ཆུང	VERB			
ཆུང་ངུ	ADJ			
ཆུད	VERB			
ཆུབ	VERB			
ཆེ	VERB			
ཆེ་གེ་མོ	ADJ			
ཆེད	NOUN			21524
ཆེན				
ཆེན་པོ	ADJ			183575
ཆེམ་ཆེམ				109
ཆེས	VERB			13862
ཆོ་ག	NOUN			33647
ཆོ་འཕྲུལ	NOUN			7672
ཆོ་འབྲང				176
ཆོ་ལོ	OTHER			76
ཆོག	VERB			11978
ཆོམ་རྐུན	NOUN			2093
ཆོས	NOUN			392115
ཆོས་གོས	NOUN			9296
ཆོས་ཅན	NOUN			16413
ཆོས་ཉིད	NOUN			24946
མཆན	NOUN			1746
མཆན་ཁུང	NOUN			
མཆིས	VERB			
མཆུ	NOUN			2627
མཆུ་རིང				19
མཆེ				
མཆོག	ADJ			111760
མཆོག་ཉིད	NOUN			558
མཆོངས	VERB			450
མཆོད	VERB			
མཆོད་སྡོང	NOUN			535
འཆད	VERB			
འཆན་ཁུང				
འཆལ	VERB			
འཆི	VERB			
འཆོས	VERB			763
ཇི་སྐད				15
