# form	pos	lemma	sense	freq
ཀ་པུར				
ཀ་པུར་ཏེས་ལོ				
ཀ་པེད				6
ཀ་པེད་ཏིག་མོ				
ཀ་པོ་ཏ				
ཀ་པོ་ཛི				
ཀ་ཕ				
ཀ་ཕིབས				
ཀ་ཕུར				1
ཀ་ཕུར་ལ་བཏགས				
ཀ་ཕོར				
ཀ་ཕྲེང				8
ཀ་བ	NOUN			3228
ཀ་བ་དཔལ་བརྩེགས				
ཀ་བ་རི				
ཀ་བ་རྒྱུད་གཅོད				
ཀ་བ་ལི				
ཀ་བ་ཤུལ་ཅན				
ཀ་བཀོལ་མ				4
ཀ་བཀྱག				
ཀ་བད				
ཀ་བཞི་གདུང་བརྒྱད				
ཀ་བཞི་མ				
ཀ་བའི་སྦྱར་བཀོད				
ཀ་བར				
ཀ་བཤད	OTHER			12
ཀ་བསྟོད				1
ཀ་བི་ཏ				
ཀ་བི་ཏ་ལ				
ཀ་བུ་ལོ				
ཀ་བུམ				
ཀ་བེ་ཀོ་བེ				
ཀ་བེ་རི				
ཀ་བེད				1
ཀ་བེལ				
ཀ་བོ་ཀ				
ཀ་བོ་ཏ				
ཀ་བྲེ				
ཀ་བློན་སྦུག				
ཀ་མ་གཙང				
ཀ་མ་ཆ				
ཀ་མ་ཏ				
ཀ་མ་ཐ				
ཀ་མ་དུ				
ཀ་མ་ནཱ				
ཀ་མ་ཙ				
ཀ་མ་ཙི				
ཀ་མ་རཱུ་པ				
ཀ་མ་རུ				37
ཀ་མ་རུ་པ				
ཀ་མ་རྩི				
ཀ་མ་ལ				41
ཀ་མ་ལ་གུཔྟ				
ཀ་མ་ལ་ཅན				
ཀ་མ་ལ་ཤི				
ཀ་མ་ལི				
ཀ་མ་ས				
ཀ་མགོ				
ཀ་མང				
ཀ་མང་མ				
ཀ་མད				9
ཀ་མད་སུམ་ཅུ				
ཀ་མི་ཡམ				
ཀ་མིག				
ཀ་མེ				
ཀ་མེ་བསད་པ				
ཀ་མེ་སྦར་མ				
ཀ་མེད				1
ཀ་མེད་པ				
ཀ་མེད་རྟ་ར				
ཀ་མོ་ཀོ་མེ				
ཀ་མོ་ཉ				
ཀ་ཙ				
ཀ་ཙ་ར				
ཀ་ཙ་རྐེད་ཉག				
ཀ་ཙ་ལིན་ད				
ཀ་ཙ་ལིན་དི				
ཀ་ཙང་ཀ་ལ				
ཀ་ཙི་ཀ				
ཀ་ཙི་ལི་བན				
ཀ་ཚ་ཀ་ལ				
ཀ་ཚ་པ				
ཀ་ཚལ				
ཀ་ཚལ་དགོན				
ཀ་ཚི་ལི་བན				
ཀ་ཝ				
ཀ་ཝ་ཅན				
ཀ་ཝ་རིགས				
ཀ་ཝ་ལི				
ཀ་ཟོ				
ཀ་འཁོར་བ				
ཀ་འགོ				
ཀ་འཇའ་ལ				
ཀ་འཇི				
ཀ་འཔན				
ཀ་འཕན				
ཀ་ཡ				
ཀ་ཡ་གོའུ་རི				
ཀ་ཡང་ན				
ཀ་ཡང་རྩེ				
ཀ་ཡིག				
ཀ་ཡུར				
ཀ་ཡེ				9
ཀ་ཡེ་ཏོག་ཏོག				
ཀ་ཡེ་དཀར་པོ				
ཀ་ཡེ་དཀར་སྨུག				
ཀ་ར	OTHER			435
ཀ་ར་ཀ				
ཀ་ར་ཅི				
ཀ་ར་ཆི				
ཀ་ར་ཇ				
ཀ་ར་ཏོག་ཏོག				
ཀ་ར་ད				
ཀ་ར་དོག་གཅིག				
ཀ་ར་ན				
ཀ་ར་ན་ཇུས				
ཀ་ར་ན་རུས				
ཀ་ར་ནང				
ཀ་ར་བཱི་ར				
ཀ་ར་བི་ར				
ཀ་ར་བྷ				
ཀ་ར་ཝ་ཏི				
ཀ་ར་ཝི་ར				
ཀ་ར་ཤིང				
ཀ་ར་སྡིག་པོད				
ཀ་ར་སྡིག་མེད				
ཀ་ར་སྡེའང་མེད				
ཀ་ར་ཧ་རི				
ཀ་རག				
ཀ་རང་ག				
ཀ་རཉཛ				
ཀ་རན་ད				
ཀ་རན་ཨ				
ཀ་རཤ་པ་ན				
ཀ་རས				
ཀ་རི་ཀ				
ཀ་རི་ཀཱ				
ཀ་རི་བུ་མོ				
ཀ་རིའུ་བུ				
ཀ་རིའུ་བུ་མོ				
ཀ་རུ				137
ཀ་རུ་ཁ་སྦྱོར				
ཀ་རུ་རི				
ཀ་རུའི་དབྱིངས་ཅན				
ཀ་རེ				
ཀ་རེ་ཀོ་རེ				
ཀ་རེ་གོ་རེ				
ཀ་རྐ་ཏ				
ཀ་རྒྱན				
ཀ་རྒྱུག				
ཀ་རྔ་ཀ་ལ				
ཀ་རྟགས				
ཀ་རྟི་ཀ				
ཀ་རྟེན				
ཀ་རྡོ				
ཀ་རྡོར				
ཀ་རྣ་ནང				
ཀ་རྨ				
ཀ་རྨ་ཀམ་ཚང				
ཀ་རྨ་ད་ཀི				
ཀ་རྨ་པ				
ཀ་རྨ་བཀའ་བརྒྱུད				
ཀ་རྨ་རབས་བརྒྱད				
ཀ་རྨ་ཤ་ཏམ				
ཀ་རྩ་ག་ལ				
ཀ་རྩ་མ				
ཀ་རྩམ				
ཀ་རྩེ				
ཀ་རྩོམ	OTHER			2
ཀ་ལ				106
ཀ་ལ་ཀ				
ཀ་ལ་ཀ་ཏ				
ཀ་ལ་ཀི				
ཀ་ལ་ཀུ་ཏྲ				
ཀ་ལ་ཀོ				
ཀ་ལ་ཏ				
ཀ་ལ་དབང་པོ				
ཀ་ལ་པ				
ཀ་ལ་པིང་ཀ	PROPN			18
ཀ་ལ་བུ				
ཀ་ལ་ཙ་ཀྲ				
ཀ་ལ་ཙནྡྲ				
ཀ་ལ་རོ་ཟན				
ཀ་ལ་ཤ				
ཀ་ལ་སྔོ་བསང				
ཀ་ལ་སྙོམས་པ				
ཀ་ལ་ཧམ་ས				
ཀ་ལ་ཧམས				
ཀ་ལག				
ཀ་ལག་ཏང				
ཀ་ལན་ཀ				
ཀ་ལན་ཊ་ཀ				
ཀ་ལན་ཏ				
ཀ་ལན་ཏ་ཀ				
ཀ་ལན་ཏ་པ				
ཀ་ལན་ད་ཀ				
ཀ་ལན་ཛ་རི				
ཀ་ལམ་ཀ				
ཀ་ལམ་བ				
ཀ་ལཱ་པ	PROPN			106
ཀ་ལི				135
ཀ་ལི་ཀ				
ཀ་ལི་ཀ་ཏ				
ཀ་ལི་ཀཱ				
ཀ་ལི་ཀོ་ཊ				
ཀ་ལི་མཐུག་པོ				
ཀ་ལི་ཡ				
ཀ་ལི་རྒྱག་པ				
ཀ་ལིང་ཀ				
ཀ་ལིང་ག				
ཀ་ལིང་འབུད				
ཀ་ལིངྐ				
ཀ་ལིངྒ				
ཀ་ལིན་དི				
ཀ་ལིབ				
ཀ་ལིབ་ཨ་ལིས				
ཀ་ལིབ་ཨུ་མར				
ཀ་ལེ				
ཀ་ལེབ				
ཀ་ལོ				
ཀ་ལོན་སྦུག				
ཀ་ལྐིང				
ཀ་ལྕི				
ཀ་ལྕོག				
ཀ་ལྱན				
ཀ་ལྷ				
ཀ་ཤ	OTHER			21
ཀ་ཤ་ར				
ཀ་ཤི				
ཀ་ཤི་ཀ				
ཀ་ཤི་པ				
ཀ་ཤི་མབ་ལ				
ཀ་ཤི་མི་རི				
ཀ་ཤི་མིར				
ཀ་ཤི་རུ				
