# form	pos	lemma	sense	freq
ཐོང་ལྕོགས				
ཐོང་ཤན				
ཐོང་སོ				4
ཐོང་སྐལ				
ཐོང་སྐོར				
ཐོང་སྤུ				
ཐོངས				
ཐོངས་ཆ				
ཐོངས་འཛིན				
ཐོད	NOUN			5847
ཐོད་ཀོར				
ཐོད་ཁེབས				
ཐོད་ཁྲག				1302
ཐོད་གཏུགས				
ཐོད་གཙུགས				
ཐོད་གྲི				
ཐོད་ཅོག				
ཐོད་ཆ				
ཐོད་ཆང				
ཐོད་ཆིངས				
ཐོད་ཏོ				
ཐོད་ཐུག				
ཐོད་ཐོད				
ཐོད་དཀར				
ཐོད་དཀྲིས				
ཐོད་དཔང				
ཐོད་དབྱུག				
ཐོད་པ	NOUN			10450
ཐོད་པང				
ཐོད་ཕོར	NOUN			28
ཐོད་ཕྲེང				1243
ཐོད་བཅིངས				8
ཐོད་བུམ				
ཐོད་མཆོངས				
ཐོད་མོ་ཁོར				
ཐོད་ཚལ				44
ཐོད་ཞལ				
ཐོད་འཁུར				
ཐོད་རས				2
ཐོད་རུས				39
ཐོད་རྒལ	OTHER			431
ཐོད་རྒྱན				5
ཐོད་རྒྱལ				
ཐོད་རྔ				231
ཐོད་རྡིང				
ཐོད་རྩ				
ཐོད་རློན				
ཐོད་ལ				
ཐོད་ལེ་ཀོར				
ཐོད་ལེ་དཀར				
ཐོད་ལེ་སྐོད				
ཐོད་སྐམ				1032
ཐོད་སྒོར				
ཐོད་སྒྱེད				
ཐོན	VERB			4062
ཐོན་ཀ				
ཐོན་ཀོར				
ཐོན་ཀྲང				
ཐོན་ཁུངས	OTHER			1
ཐོན་གསར				
ཐོན་གསལ				
ཐོན་གོན་སན				
ཐོན་གྲངས				
ཐོན་གྲངས་རྩི				
ཐོན་ཆས				
ཐོན་ཆུ				
ཐོན་ཆེ				
ཐོན་ཐི				1
ཐོན་དངོས				
ཐོན་དཔུང				
ཐོན་པ	VERB			1574
ཐོན་ཕྱག				2
ཐོན་བབ				
ཐོན་བསྐྱེས				
ཐོན་བུ				2
ཐོན་མི	PROPN			13
ཐོན་མི་སམབྷོཏ				
ཐོན་མི་སམྦྷོ་ཊ				
ཐོན་ཚད				
ཐོན་ཚོད་པོ				
ཐོན་ཟོག				
ཐོན་ཟོང				
ཐོན་འཕེལ				
ཐོན་འབབ				
ཐོན་འབོར				
ཐོན་འབྲས				
ཐོན་ཡུལ				1
ཐོན་ཡོན				
ཐོན་རྗེས				
ཐོན་རྫས				
ཐོན་རྫོངས				
ཐོན་ལས				
ཐོན་ལེགས				
ཐོན་ལྕག				
ཐོན་ས				
ཐོན་སྐོར				
ཐོན་སྐྱེད	OTHER			
ཐོན་སྐྱེས				
ཐོན་སྐྱོད				
ཐོན་སྒོ				
ཐོན་སྟོན				
ཐོན་སྤེལ				
ཐོབ	VERB			50873
ཐོབ་ཀྱག་གོ་ཀྱག				
ཐོབ་ཁ་མ				
ཐོབ་ཁུངས				
ཐོབ་ཁྲ				
ཐོབ་ཁྲལ				
ཐོབ་ག				
ཐོབ་གྱུར				
ཐོབ་གྲངས				6
ཐོབ་ཅི				
ཐོབ་ཅེས				
ཐོབ་ཆ				9
ཐོབ་ཆི				
ཐོབ་ཆི་རྒྱག				
ཐོབ་ཆུ				3
ཐོབ་ཉམས				
ཐོབ་ཐ་མག				
ཐོབ་ཐང	OTHER			36
ཐོབ་ཐོ				
ཐོབ་དཀ				
ཐོབ་དཀའ				
ཐོབ་དབང				
ཐོབ་ནོར				37
ཐོབ་པ	VERB			30689
ཐོབ་བ				
ཐོབ་བཤགས				
ཐོབ་བྱ				
ཐོབ་བྱེད	NOUN			641
ཐོབ་མཁན				
ཐོབ་མྱོང				
ཐོབ་ཚིར				
ཐོབ་ཚུལ				
ཐོབ་ཞྭ				
ཐོབ་ཟིན་པ				
ཐོབ་འཇལ				
ཐོབ་འདོད				
ཐོབ་འབྲས				
ཐོབ་འཛིན				
ཐོབ་འོས་པ				
ཐོབ་ཡིག	OTHER			10
ཐོབ་རིམ				8
ཐོབ་རྒྱལ	NOUN			15
ཐོབ་རྒྱུ				
ཐོབ་རྟགས				
ཐོབ་ལོ				
ཐོབ་ཤ				10
ཐོབ་ཤག་ཤག				
ཐོབ་ཤོར				2
ཐོབ་སེང				
ཐོབ་སྐལ				43
ཐོབ་སྲོལ				
ཐོབས				
ཐོམ				28
ཐོམ་ཐོམ				
ཐོམ་བུ				
ཐོམ་མེ				
ཐོམ་མེ་བ				
ཐོམ་ཡོར				2
ཐོམས				7
ཐོམས་པ				
ཐོམས་ཤིག				
ཐོའུ				
ཐོའུ་ཀབ༹ན				
ཐོའུ་ཀྭན				
ཐོར				
ཐོར་ཁོད				
ཐོར་གཙུག				
ཐོར་གོད				
ཐོར་ཅོག				292
ཐོར་ཅོག་མ				
ཐོར་ཆ་འཐུ་བ				
ཐོར་ཆགས				
ཐོར་ཆོས				
ཐོར་ཏོ				18
ཐོར་ཐུན				158
ཐོར་ཐོ				
ཐོར་ནག				
ཐོར་ནད	OTHER			1
ཐོར་པ				50
ཐོར་པ་སྐྱེ				
ཐོར་པོ				
ཐོར་བ				23
ཐོར་བུ	OTHER			239
ཐོར་མ	NOUN			7
ཐོར་མགོ				
ཐོར་མོ				1
ཐོར་ཙམ				
ཐོར་ཙུགས				
ཐོར་ཚུགས				771
ཐོར་ཞིག				
ཐོར་འཕྲོ				
ཐོར་འབུར				
ཐོར་འབྲུམ				
ཐོར་ཡན				
ཐོར་ར				
ཐོར་རེ				
ཐོར་རེ་ཐོར་རེ				
ཐོར་རེ་བ				
ཐོར་རེ་བ་གོ				
ཐོར་རེ་ལྡང				
ཐོར་སྣམ				
ཐོལ	ADV			660
ཐོལ་ཐོལ				
ཐོལ་པ				
ཐོལ་བ				
ཐོལ་བྱུང				
ཐོལ་ཚངས				
ཐོལ་རེ་ལྡང				
ཐོལ་ལེ				
ཐོལ་སྐྱེས				
ཐོས				
ཐོས་གྲོལ	OTHER			48
ཐོས་ཆུང				85
ཐོས་དབང				1
ཐོས་དུས				
ཐོས་ནོར				
ཐོས་པ	VERB			11718
ཐོས་པ་པོ				
ཐོས་བསམ	NOUN			2920
ཐོས་བྱུང	NOUN			16
ཐོས་བྱེད				14
ཐོས་མང	NOUN			11
ཐོས་མཆོག				6
ཐོས་ཚད				29
ཐོས་ཚོད				3
ཐོས་འཛིན	OTHER			23
ཐོས་རྒྱ				15
ཐོས་རྟུལ				
ཐོས་ལོ				10
ཐོས་ལྡན				
ཐོས་ལྡན་པ				
ཐོས་ཤུགས				
ཐོས་སོ་ཅོག				
ཐོས་སྒྲོག	NOUN			4
ཐོས་སྒྲོགས				
ཐོས་སྣང				13
ཐྭག				
ཐྲ				
ཐྲིག་ཐྲིག				
ཐྲིགས				
ད	ADV			62520
ད་ཀ				
ད་ཀི				
ད་ཀོ				
ད་ཀོ་ཤ				
ད་ཁ				
ད་ཁྲི་བཙན་པོ				
ད་ག				4
ད་ག་ཙམ				
ད་ག་རང				
ད་ག་སེ				
ད་གང				
ད་གདོད				5
ད་གཟོད				
ད་གཡུང				
ད་གི				
ད་གིན				
ད་གོང				
ད་ཅི				
ད་ཅི་ནས་ད				
ད་ཅི་བསམ				
ད་ཆ				
ད་ཆར				
ད་ཆུ				
ད་ཆུ་ཚྭ				
ད་ཆོག				2
ད་ཉིད				
ད་ཏྲིག				1
ད་ཐུག				
ད་ཐེངས				
ད་ད				
ད་དགོང				
ད་དགྲ				
ད་དར				
ད་དི་སིབ				
ད་དུ་ར				
ད་དུང	ADV			3107
ད་དེ				
ད་དྲག	OTHER			1
ད་དྲིལ				
ད་དྷ་ཁྲ་བོ				
ད་དྷ་ཕ་ལ				
ད་ནང	ADV			12
ད་ནངས				
ད་ནི				
ད་ནུ་ཀ་རི				
ད་ནུ་སྐ་རི				
ད་ནུབ				
ད་ནུར				
ད་ཕན				
ད་ཕྱིན	ADV			1
ད་ཕྱིན་ཆད				
ད་ཕྲུག				
ད་བ				
ད་བཅོལ				
ད་བར				
ད་བུར				
ད་བེར				
ད་བྱིད	NOUN			33
ད་བྲག				
ད་མ་རུ				
ད་མ་སི་ཁ				
ད་མག				
ད་མཐའ				
ད་མཚམས				
ད་མུས				
ད་མོད				
ད་ཙམ				
ད་ཙུག				
ད་ཙེ				
ད་ཚ				
ད་ཚུག				
ད་ཚུར				11
ད་ཚོད				3
ད་ཞག				
ད་ཞོག				
ད་འགྲིག་ག				
ད་འདྲས་མ་ལབ				
ད་འུ				
ད་འུར				
ད་འོ་ན				
ད་འོད				
ད་ཡང				
ད་ཡོད				
ད་ར				47
ད་ར་ཀ་ཆེ				
ད་ར་ཁ་ཆེ				
ད་ར་ད				
ད་རང				
ད་རངས				
ད་རན				
ད་རབས				
ད་རི་དྲ				
ད་རི་བ				
ད་རིང				
ད་རུ				
ད་རུང	ADV			63
ད་རེ				
ད་རེང				
ད་རེད				
ད་རེས	ADV			
ད་རྐྱ				
ད་རྐྱང				
ད་རྒན				2
ད་རྒོད				
ད་རྟག				
ད་ལན				9
ད་ལམ				576
ད་ལི				
ད་ལིས				
ད་ལེན				
ད་ལེས				
ད་ལོ	ADV			5
ད་ལོངས				
ད་ལྟ	OTHER			
ད་ལྟ་པ				
ད་ལྟ་བ				
ད་ལྟར				
ད་སྒའ་མོ				
ད་སྒོས				1
ད་སྔ				
ད་སྔོན				
ད་སྟེ				
ད་སྡོད				
ད་ཧ་ན				
ད་ཧྲིག				
དཀ་ངལ་གཙང་སེལ				
དཀ་ངལ་སེལ				
དཀ་འཐབ				
དཀ་རུ				
དཀག				5
དཀག་པ				
དཀག་བ				
དཀན				53
དཀན་གཉེར				2
དཀན་གཏོག				
དཀན་གཟར				
དཀན་ནད				
དཀའ				
དཀའ་གནད	NOUN			100
དཀའ་གནས				
དཀའ་ངལ	OTHER			16
དཀའ་ཆེན	NOUN			55
དཀའ་ཉེན				
དཀའ་ཐུབ	NOUN			3257
དཀའ་དཀའ				8
དཀའ་དཔྱད				
དཀའ་དུབ				
དཀའ་པོ				5
དཀའ་བ	VERB			7693
དཀའ་བཅུ				
དཀའ་བཞི				
དཀའ་བཞི་པ				
དཀའ་བཟློག་མ				
དཀའ་བས				
དཀའ་བས་དོང				
དཀའ་བོ				
དཀའ་བྱེད				
དཀའ་མགོ				
དཀའ་མདོ				1
དཀའ་མོ	ADJ			60
དཀའ་ཚད				4
དཀའ་ཚེ་གཏ				
དཀའ་ཚེགས	NOUN			160
དཀའ་ཟློག་མ				
དཀའ་འགག				
དཀའ་འགྲེལ	NOUN			649
དཀའ་འཇི				
དཀའ་རུག				
དཀའ་རྙོག				
དཀའ་རྙོགས				
དཀའ་ལས	NOUN			275
དཀའ་ས				
དཀའ་སེ་བ				
དཀའ་སེལ				
དཀའ་སྒྲུབ				
དཀའ་སྡུག	OTHER			
དཀའ་སྣང				3
དཀའ་སྤྱད	NOUN			709
དཀའ་སྤྱད་པ				
དཀའ་སྦྱོང				
དཀའི་གནས				
དཀའི་བ				
དཀའི་སྤྱོད				
དཀར				
དཀར་ཀ་མ				
དཀར་ཀྲིང				
དཀར་ཁང				
དཀར་ཁུང				59
དཀར་ཁྱུག				
དཀར་ཁྱུག་ཁྱུག				
དཀར་ཁྲ				21
དཀར་ཁྲ་མན				
དཀར་ཁྲ་མེན				
དཀར་ཁྲིགས				
དཀར་ཁྲོམ་མེ				
དཀར་གཏོར				
དཀར་གཙང				13
དཀར་གཡའ				1
དཀར་གཡེང				
དཀར་གསལ	NOUN			642
དཀར་གསུམ				434
དཀར་གསུར	OTHER			1
དཀར་གོང				
དཀར་གྱེང				
དཀར་ཅག				
དཀར་ཆ				540
དཀར་ཆག	NOUN			1256
དཀར་ཆབ་ཆབ				
དཀར་ཆལ				11
དཀར་ཆས				
དཀར་ཆུ				17
དཀར་ཆེན				
དཀར་ཆེམ་ཆེམ				
དཀར་ཆོས	OTHER			94
དཀར་ཉེ				
དཀར་ཐག				
དཀར་ཐབ				
དཀར་ཐིག				27
དཀར་ཐིགས				
དཀར་ཐོག				
དཀར་དཀར				
དཀར་དམར	OTHER			1567
དཀར་དུག				
དཀར་དུས				4
དཀར་དྲུས				
དཀར་དྲོ				
དཀར་ནག	ADJ			1579
དཀར་པོ	ADJ			19284
དཀར་ཕིག				
དཀར་ཕིགས				
དཀར་ཕིབས				1
དཀར་ཕུད				10
དཀར་ཕྱེ				
དཀར་ཕྱོགས	NOUN			1031
དཀར་ཕྲེང				
དཀར་བ	VERB			1650
དཀར་བཅད				
དཀར་བཅོས				
དཀར་བརྒྱུད་པ				
དཀར་བརྩེགས				3
དཀར་བཤལ				
དཀར་བསོད				4
དཀར་མདངས				9
དཀར་མཛེས	OTHER			42
དཀར་མཛོད				
དཀར་མར				
དཀར་མི	NOUN			24
དཀར་མིན				47
དཀར་མེ				86
དཀར་མེད་མ				
དཀར་མོ	ADJ			4461
དཀར་མོག				
དཀར་ཙེ				
དཀར་ཚན				
དཀར་ཚུར				
དཀར་ཞལ				
དཀར་ཞོད				
དཀར་ཟན་པ				
དཀར་ཟལ				348
དཀར་ཟས	OTHER			1
དཀར་ཟིང་ཟིང				
དཀར་ཟླ				18
དཀར་འཁྱིལ་ལེ་བ				
དཀར་འགག				
དཀར་འགྱེད				30
དཀར་འཇམ				93
དཀར་འདོན				2
དཀར་འབྱམས				11
དཀར་འབྲིས་བྱུ				
དཀར་འཚེར				
དཀར་འཛིན				144
དཀར་འོད				31
དཀར་ཡ				
དཀར་ཡེར་ན				
དཀར་ཡོ་ལ				
དཀར་ཡོལ	NOUN			179
དཀར་རག				
དཀར་རིགས				5
དཀར་རིལ				
དཀར་རུ	ADJ			10
དཀར་རྐྱང				2
དཀར་རྒྱ				
དཀར་རྒྱན				47
དཀར་རྡོར				
དཀར་རྩི				73
དཀར་རྩིས				14
དཀར་རྩིས་པ				
དཀར་རྩེར་བ				
དཀར་རྫེས				
དཀར་ལམ				
དཀར་ལམ་པ				
དཀར་ལམ་བ				
དཀར་ལམ་མེ				9
དཀར་ལས				12
དཀར་ལེང				
དཀར་ལོང				
དཀར་ལྡན				17
དཀར་ལྡི				
དཀར་ཤ				4
དཀར་ཤམ				
དཀར་ཤལ་དམར་ཤལ				
དཀར་ཤས				
དཀར་ཤུབས				
དཀར་ཤེ				
དཀར་སངས				12
དཀར་སེར				177
དཀར་སྐྱ				12
དཀར་སྐྱེམས				
དཀར་སྐྱོ				
དཀར་སྐྱོང				4
དཀར་སྐྱོང་པ				
དཀར་སྔོ				
དཀར་སྟོན				8
དཀར་སྡུད་པ				
དཀར་སྡེར				
དཀར་སྣང				
དཀར་སྤྱད				9
དཀར་སྤྲང				
དཀར་སྤྲོ				26
དཀར་སྨུག				
དཀར་སླེལ				
དཀར་སློང				
དཀུ	VERB			610
དཀུ་ཁྱིམ				
དཀུ་གཡས				
དཀུ་ནད				
དཀུ་བ				14
དཀུ་མཉེ				
དཀུ་མཚམས				
དཀུ་ཟླུམ				
དཀུ་འགེལ				
དཀུ་རྒྱལ				
དཀུ་ལྕི				
དཀུ་ལྟོ				
དཀུ་སྐབས				
དཀུ་སྒྱུ				
དཀུ་སྟེ				
དཀུ་སྦོམ				
དཀེལ				
དཀོག་ཉུལ				
དཀོང་བུ				
དཀོན				
དཀོན་གཉེར				
དཀོན་ཅོག	OTHER			42
དཀོན་དུས				
དཀོན་ནོར				
དཀོན་པ				
དཀོན་པོ				
དཀོན་བརྩེགས				
དཀོན་བུ				
དཀོན་མཆོག	NOUN			20045
དཀོན་མོ				
དཀོན་མོད				
དཀོན་ཟོག				
དཀོར				
དཀོར་གཉེར				
དཀོར་གྲིབ				
དཀོར་ཆ				
དཀོར་ནོར				
དཀོར་པ				
དཀོར་བདག				
དཀོར་བདུན				
དཀོར་བླ				
དཀོར་མཛོད				
དཀོར་མི				
དཀོར་ཚིག				
དཀོར་ཟ				
དཀོར་ཟན				
དཀོར་ཟས				
དཀོར་འདྲེ				
དཀོར་འབྱིན				
དཀོར་རིགས				
དཀོར་རྩེ་བ				
དཀོར་རྫོགས				
དཀོར་སྐྱེད				
དཀོར་སྒྲིབ				
དཀོར་སྒྲོམ				
དཀོར་སྦྱོང				
དཀོར་སྲུང				
དཀོལ་པ				
དཀོས་ཐག				
དཀྱག་པ				
དཀྱར				
དཀྱལ་པ				
དཀྱིགས				
དཀྱིལ				
དཀྱིལ་ཀྱོང				
དཀྱིལ་ཀྲུང				
དཀྱིལ་ཁང				
དཀྱིལ་གནས				
དཀྱིལ་གཞུང				3
དཀྱིལ་གཤགས				
དཀྱིལ་གུ				
དཀྱིལ་ཆུ				
དཀྱིལ་ཆེ				
དཀྱིལ་ཆོག	OTHER			1573
དཀྱིལ་ཐང				48
དཀྱིལ་ཐད				2
དཀྱིལ་ཐིག				
དཀྱིལ་དཀྲུང				
དཀྱིལ་དཀྲུངས				
དཀྱིལ་ཕྱོགས				1
དཀྱིལ་མ				28
དཀྱིལ་མཛུག				
དཀྱིལ་མཛུབ				3
དཀྱིལ་ཟངས				
དཀྱིལ་འཁོར				
དཀྱིལ་རྒྱུད				1
དཀྱིལ་ལེ				
དཀྱིལ་སྒར				
དཀྱིལ་སྒོ				2
དཀྱིལ་སྨད				
དཀྱུ				
དཀྱུ་པ				
དཀྱུ་པོ				
དཀྱུ་བ				3
དཀྱུ་བོ				
དཀྱུ་རྟ				
དཀྱུ་ས				
དཀྱུད				
དཀྱུད་པ				
དཀྱུས	NOUN			4133
དཀྱུས་གཅིག				
དཀྱུས་ཇ				
དཀྱུས་ཐག				
དཀྱུས་དཀར				
དཀྱུས་པ				4
དཀྱུས་བཏགས				
དཀྱུས་བུར				
དཀྱུས་མ	OTHER			
དཀྱུས་མོ				3
དཀྱུས་ཚད				
དཀྱུས་ཞེང				
དཀྱུས་འགྲེ				
དཀྱུས་འགྲོས				
དཀྱུས་འབོལ				
དཀྱུས་འབྲས				
དཀྱུས་རིང				
དཀྱུས་རྩེ				
དཀྱུས་ལྟར				
དཀྱེར་བ				
དཀྱེལ				17
དཀྱེལ་ཆེ				
དཀྱེལ་པོ་ཆེ				1
དཀྱེལ་ལྡན				
དཀྱེས་རྡོར				
དཀྱོག་བཤད				
དཀྱོར་འབྱིན				
དཀྲ་བ				
དཀྲི				
དཀྲི་ག				
དཀྲི་ཐག				
དཀྲི་བ				155
དཀྲི་བ་པོ				
དཀྲི་འཕང				
དཀྲི་ལོག				
དཀྲི་ལྕགས				
དཀྲི་ཤིང				
དཀྲི་སྐོར				
དཀྲིག				20
དཀྲིག་ཅར				
དཀྲིག་པ				
དཀྲིག་བཅར				
དཀྲིགས	VERB			131
དཀྲིགས་ཆེན				
དཀྲིགས་པ				
དཀྲིགས་བཅར				
དཀྲིལ་ལེ				
དཀྲིས				
དཀྲིས་གྱུར				
དཀྲིས་པ				
དཀྲིས་ཕྲག				
དཀྲིས་རས				
དཀྲུ་བ				
དཀྲུག				
དཀྲུག་གསོར				
དཀྲུག་གྲི				
དཀྲུག་དཀྲུག				
དཀྲུག་པ				
དཀྲུག་ཟིང				
དཀྲུག་འཁོར				
དཀྲུག་ལས				
དཀྲུག་ཤིང				
དཀྲུག་ཤིངས				
དཀྲུག་སྟེགས				
དཀྲུག་སྣོད				
དཀྲུགས				
དཀྲུགས་པ				
དཀྲུགས་པ་པོ				
དཀྲུགས་བཤིགས				
དཀྲུགས་ཡིག				
དཀྲུགས་སྟེགས				
དཀྲུན				
དཀྲུམ				
དཀྲུམ་ཁུ				
དཀྲུམ་དཀྲུམ				
དཀྲུམ་པ				
དཀྲུམ་ཕག				
དཀྲུམས				
དཀྲུམས་པ				
དཀྲེ				
དཀྲོག				
དཀྲོག་གཏམ				
དཀྲོག་པ				
དཀྲོག་རྐྱེན				
དཀྲོགས				
དཀྲོགས་པ				
དཀྲོགས་པ་པོ				
དཀྲོགས་མ				
དཀྲོགས་སྐྱེས				
དཀྲོང་བསྐྱེད				
དཀྲོང་སྐྱེད				
དཀྲོངས				
དཀྲོལ				
དཀྲོལ་བ				
དཀྲོལ་བ་པོ				
དཀྲོས				
དཀྲོས་མ				
དག	DET			440570
དག་ཁ				
དག་ག་དོག་གེ				
དག་གཉིས				
དག་གསལ				
དག་གུ				
དག་གེ་དོག་གེ				
དག་ཅི				
དག་ཆ				18
དག་ཏེར				
དག་ཐེབ				
དག་ཐེར	OTHER			1
དག་དུག				5
དག་དོག				
དག་དོན				
དག་དྲན				
དག་པ	VERB			62088
དག་པོ				45
དག་ཕུད				
དག་བཅོས	OTHER			6
དག་བརྗོད				
དག་བཤེར	OTHER			
དག་བསང				
དག་བྱེད	OTHER			389
དག་མ				3
དག་མཆན				
དག་མཉམ				
དག་ཚངས				
དག་ཞིང				15
དག་ཞུ				
དག་འགྲེལ				
དག་འབུད				
དག་འབུལ				
དག་འབྱེད				
དག་ཡིག	NOUN			16
དག་ར				
དག་རྩེ				
དག་རྩེད				
དག་རྫས				
དག་ལྡན				
དག་ཤིང				
དག་ས				36
དག་སེལ				
དག་སྒྲོག				
དག་སྟེར				
དག་སྣང	NOUN			1383
དག་སྦྱངས				
དག་སྦྱོར				14
དགག	VERB			7542
དགག་གཞག	OTHER			219
དགག་གྲུབ				
དགག་དབྱེ	NOUN			1944
དགག་པ	VERB			12503
དགག་པང				
དགག་ཕྱེ				
དགག་བཞག				
དགག་བྱ	VERB			3310
དགག་བྲལ				
དགག་མེད				
དགག་ཚིག				52
དགག་འབྱངས				
དགག་རྙི				
དགག་རྟགས				222
དགག་ལན	OTHER			11
དགག་ལེན				
དགག་སྒྲ				
དགག་སྒྲི				
དགག་སྒྲུབ	OTHER			3001
དགགས				
དགང				
དགང་གཟར	NOUN			658
དགང་ཅན				
དགང་ཐ				
དགང་པ				
དགང་བ	VERB			294
དགང་བླུག				
དགང་བླུགས	NOUN			720
དགང་ལ				
དགད་པ				
དགབ				
དགབ་པ				153
དགབ་བྱ				
དགའ				
དགའ་ཁུལ				
དགའ་ཁྲས་ཁྲས				
དགའ་གཅེས				
དགའ་གདོང				
དགའ་གུས				22
དགའ་གྲོགས	NOUN			2
དགའ་གླུ				
དགའ་ངུ				
དགའ་ཉམས				
དགའ་ཉེ				
དགའ་དགུ				
དགའ་དགོད				
དགའ་དབྱངས				
དགའ་དར				
དགའ་དོད				
དགའ་དྲག				
དགའ་པོ				
དགའ་ཕྱོགས				3
དགའ་བ	VERB			25246
དགའ་བཀུར				
དགའ་བདེ	NOUN			548
དགའ་བཙེ				
དགའ་བཞི				
དགའ་བཞིན				
དགའ་བཤེས				
དགའ་བསུ				
དགའ་བོ	PROPN			2110
དགའ་བྱེད	OTHER			563
དགའ་བྲལ				
དགའ་བྲོད				49
དགའ་མ	NOUN			164
དགའ་མཁན				
དགའ་མགུ	NOUN			
དགའ་མཆོངས				
དགའ་མོ	ADJ			203
དགའ་མོས				
དགའ་ཚང				
དགའ་ཚད				
དགའ་ཚལ	OTHER			289
དགའ་ཚེས				
དགའ་ཚོར	OTHER			12
དགའ་ཞེན				
དགའ་འཁྱིལ	OTHER			141
དགའ་འགྱུར				
དགའ་འདུན				
དགའ་འདོད				
དགའ་འདྲིས				
དགའ་འབོད				
དགའ་འབྱམས				
དགའ་འཚོར				
དགའ་འཛུམ				
དགའ་འཛོམས				
དགའ་འུར				
དགའ་ཡ་ལེ				2
དགའ་ཡལ་ཡལ				
དགའ་ཡས				
དགའ་རབ	ADJ			164
དགའ་རིངས				
དགའ་རིས				
དགའ་རུ་རེ				
དགའ་རོགས				
དགའ་རྐྱང				
དགའ་རྩེད				
དགའ་ལྡན	PROPN			2762
དགའ་ལྡན་པ				
དགའ་ལྷང་ལྷང				
དགའ་ཤོས				
དགའ་ས་ཡག་ས				
དགའ་སེམས				24
དགའ་སྐད				
དགའ་སྐྱིད	OTHER			44
དགའ་སྐྱེལ				
དགའ་སྐྱེས				
དགའ་སྐྱོ				
དགའ་སྒོམ				
དགའ་སྟོན	NOUN			2737
དགའ་སྡང				
དགའ་སྣང				6
དགའ་སྤོབས				
དགའ་སྤྱོད				42
དགའ་སྤྱོད་མ				
དགའ་སྤྲོ	NOUN			303
དགའ་སྦུབས				
དགའ་སྨོན				
དགའ་སྲིད				
དགའ་ཨོས				
དགའི་བ				
དགའི་ལྡན				
དགའོ				
དགར				
དགར་བ	VERB			41
དགརད				
དགལ				
དགལ་བ				11
དགས				
དགས་པ				19
དགས་ར				
དགི་འདུན				
དགི་སློབ་མ				
དགུ	NUM			26915
དགུ་ཁྲ				
དགུ་ཁྲི				
དགུ་གཏོར	OTHER			34
དགུ་གཞུང				
དགུ་གཞུར				
དགུ་གྲུབ				
དགུ་ཅོག				
དགུ་ཆུ	OTHER			
དགུ་ཐུག				
དགུ་ཐུབ				2
དགུ་ཐོག	ADJ			21
དགུ་དྲུས				
དགུ་ནིང				
དགུ་པ	ADJ			6126
དགུ་པོ				
དགུ་ཕྲུགས				60
དགུ་བ	OTHER			73
དགུ་བཅུ				
དགུ་བརྒྱ				
དགུ་བོག				
དགུ་བྱེད				
དགུ་མཐའ				10
དགུ་མདའ				1
དགུ་མཚན				
དགུ་ཚིག				2
དགུ་ཚིགས				3
དགུ་ཟི				
དགུ་ཟླ	OTHER			
དགུ་འཇལ				
དགུ་འདྲེན				
དགུ་འབུམ				
དགུ་ཡོངས				
དགུ་རྒྱུད				10
དགུ་རྩེག་མ				
དགུ་རྩེགས				
དགུ་རྫས				
དགུ་སྟེ				
དགུ་སྟོང				
དགུ་སྡེབས				
དགུག	VERB			4103
དགུག་གཞུག				28
དགུག་པ				
དགུག་བྱང				
དགུག་ཤུགས				
དགུགས				
དགུང	NOUN			675
དགུང་ཀེག				
དགུང་ཁ་ལ				
དགུང་ཁག				
དགུང་གཉིས				
དགུང་གདུགས				
དགུང་གསར				
དགུང་གསེབ				
དགུང་གྲངས	OTHER			205
དགུང་ཆར				25
དགུང་ཇ				
དགུང་ཉི་ལྡོག				
དགུང་ཐིག				
དགུང་ཐུན				12
དགུང་དཀྱིལ				
དགུང་དབྱིངས				
དགུང་དོ་ནུབ				
དགུང་དྲོ				
དགུང་བདུན				5
དགུང་བློན				
དགུང་མཁའ				
དགུང་མཁར				
དགུང་མཉམ				
དགུང་མཐོངས				
དགུང་མོ				
དགུང་མོར				
དགུང་ཚིགས	OTHER			14
དགུང་ཞག				36
དགུང་ཟླ				69
དགུང་འདེགས				
དགུང་ལོ	NOUN			3051
དགུང་སྐེག				
དགུང་སྔོན				9
དགུང་སྙིང				7
དགུན				
དགུན་ཀ				
དགུན་ཁ	OTHER			2
དགུན་ག				
དགུན་གཉིས				
དགུན་གདུང				
དགུན་གོས				
དགུན་གྲོ				
དགུན་ཆས				
དགུན་ཆུ				
དགུན་ཆོས				
དགུན་ཉལ				
དགུན་ཉི་ལྡོག				
དགུན་ཐ				
དགུན་ཐ་མ				
དགུན་ཐོག				
དགུན་དལ				
དགུན་དུང				
དགུན་དུས				
དགུན་བཏབ				
དགུན་བྱུང				
དགུན་བྲེལ				
དགུན་མཆོད				
དགུན་མཚེར				
དགུན་ཚིགས				
དགུན་ཚུགས				
དགུན་ཞྭ				
དགུན་ཟུག				
དགུན་ཟླ				67
དགུན་འདུན				
དགུན་འབྲིང				
དགུན་འབྲུམ				
དགུན་རྨོ				
དགུན་རྭ་བ				
དགུན་ལམ				1
དགུན་ལྷམ				
དགུན་ས				
དགུན་སྐྱིད				
དགུན་སྐྱེས				
དགུན་སྟོང				
དགུན་སྟོད				53
དགུན་སྨད				2
དགུན་སླ				
དགུན་སློབ				
དགུམ				
དགུམ་པ	VERB			25
དགུམས				
དགུར				
དགུར་པོ				
དགུར་བ				4
དགུར་མོ				1
དགུར་འགྲོ				
དགུར་སྡོད				
དགུས				
དགུས་ནིང				
དགུས་པ				
